:START_ID,:END_ID,:TYPE
researchgraph.org/ands/10378.3/8085/1018.13362,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.2578,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.1240,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.13377,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.2576,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.2579,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.13391,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.13350,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.13372,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.2616,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.2610,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.13357,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.13355,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.11611,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.13402,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/10378.3/8085/1018.13348,"researchgraph.org/ands/Contributor:Queensland University of Technology",hasAssociationWith
researchgraph.org/ands/CoECSS/party/individual/1,researchgraph.org/ands/0a7c2eb6-9026-11e1-bb8e-f04da20254be,isMemberOf
researchgraph.org/ands/CoECSS/collection/1,researchgraph.org/ands/0a7c2eb6-9026-11e1-bb8e-f04da20254be,isMemberOf
researchgraph.org/ands/CoECSS/activity/researchprogram/1,researchgraph.org/ands/0a7c2eb6-9026-11e1-bb8e-f04da20254be,isMemberOf
researchgraph.org/ands/CoECSS/collection/2,researchgraph.org/ands/0a7c2eb6-9026-11e1-bb8e-f04da20254be,isMemberOf
researchgraph.org/ands/CoECSS/collection/3,researchgraph.org/ands/0a7c2eb6-9026-11e1-bb8e-f04da20254be,isMemberOf
researchgraph.org/ands/CoECSS/collection/5,researchgraph.org/ands/0a7c2eb6-9026-11e1-bb8e-f04da20254be,isMemberOf
researchgraph.org/ands/CoECSS/collection/4,researchgraph.org/ands/0a7c2eb6-9026-11e1-bb8e-f04da20254be,isMemberOf
researchgraph.org/ands/http://acef.tern.org.au/7dff54b8-1612-4fbf-9751-40178f1087ce,researchgraph.org/ands/dixVvbpqjA1te4wsPieS6zGgZqwv0qS3zfOVh4bqu2KzW7RCfWlc,hasAssociationWith
researchgraph.org/ands/http://acef.tern.org.au/DataManager,researchgraph.org/ands/dixVvbpqjA1te4wsPieS6zGgZqwv0qS3zfOVh4bqu2KzW7RCfWlc,hasAssociationWith
researchgraph.org/ands/http://acef.tern.org.au/StateofQueensland,researchgraph.org/ands/dixVvbpqjA1te4wsPieS6zGgZqwv0qS3zfOVh4bqu2KzW7RCfWlc,hasAssociationWith
researchgraph.org/ands/http://acef.tern.org.au/1876ed37-3503-434e-82c3-0f81fa4eb64f,researchgraph.org/ands/dixVvbpqjA1te4wsPieS6zGgZqwv0qS3zfOVh4bqu2KzW7RCfWlc,hasAssociationWith
researchgraph.org/ands/http://acef.tern.org.au/da023c22-08a7-46a5-a415-c7bc29d213f5,researchgraph.org/ands/dixVvbpqjA1te4wsPieS6zGgZqwv0qS3zfOVh4bqu2KzW7RCfWlc,hasAssociationWith
researchgraph.org/ands/http://acef.tern.org.au/3ea97d80-30d6-4d6e-99a8-de5b199e9424,researchgraph.org/ands/dixVvbpqjA1te4wsPieS6zGgZqwv0qS3zfOVh4bqu2KzW7RCfWlc,hasAssociationWith
researchgraph.org/ands/http://acef.tern.org.au/ChrisMoeseneder,researchgraph.org/ands/dixVvbpqjA1te4wsPieS6zGgZqwv0qS3zfOVh4bqu2KzW7RCfWlc,hasAssociationWith
